id,cauhoi,dapan1,dapan2,dapan3,dapan4,dapandung,trichdan
1,"Theo Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB, quy định về chuẩn mực đạo đức nghề nghiệp của cán bộ thực hiện kiểm tra, giám sát phải đảm bảo nguyên tắc nào dưới đây?","Cá nhân thực hiện nhiệm vụ, thẩm quyền được giao một cách trung thực vì lợi ích của Agribank.","Cá nhân thực hiện nhiệm vụ, thẩm quyền được giao không lợi dụng địa vị, chức vụ sử dụng thông tin, bí quyết, cơ hội kinh doanh và tài sản của Agribank để thu lợi cá nhân hoặc làm tổn hại đến lợi ích Agribank.","Các cá nhân, bộ phận, đơn vị có trách nhiệm báo cáo kịp thời với cấp có thẩm quyền khi phát hiện hành vi vi phạm chuẩn mực đạo đức nghề nghiệp và các hành vi vi phạm quy định của pháp luật, quy định nội bộ của Agribank.",Tất cả các đáp án trên.,4,Điều 3 Chương I Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB ngày 31/8/2022.
2,"Theo Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB, kiểm soát xung đột lợi ích trong hoạt động cấp tín dụng phải thực hiện theo nguyên tắc nào dưới đây?","Cá nhân, bộ phận/đơn vị có chức năng thẩm định tín dụng độc lập với cá nhân, bộ phận/đơn vị có chức năng quan hệ khách hàng.","Cá nhân, bộ phận/đơn vị có chức năng thẩm định tín dụng độc lập với cá nhân, bộ phận/đơn vị có chức năng phê duyệt cấp tín dụng.","Cá nhân, bộ phận/đơn vị có chức năng thẩm định tín dụng độc lập với cá nhân, bộ phận/đơn vị có chức năng kiểm soát hạn mức rủi ro tín dụng, quản lý khoản cấp tín dụng có vấn đề, trích lập dự phòng rủi ro và dự phòng xử lý rủi ro tín dụng.","Cá nhân, bộ phận/đơn vị có chức năng thẩm định tín dụng độc lập với cá nhân, bộ phận/đơn vị có chức năng quan hệ khách hàng, phê duyệt cấp tín dụng, kiểm soát hạn mức rủi ro tín dụng, quản lý khoản cấp tín dụng có vấn đề, trích lập dự phòng rủi ro và dự phòng xử lý rủi ro tín dụng.",4,Khoản 2 Điều 9 Chương II Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB ngày 31/8/2022.
3,"Theo Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB, hoạt động kiểm soát nội bộ Agribank được đánh giá định kỳ hàng năm theo các quy định nào sau đây? ","Tổng Giám đốc tự kiểm tra, đánh giá về kiểm soát nội bộ của Agribank.",Ban Kiểm soát đánh giá về kiểm soát nội bộ của Agribank.,Tổ chức kiểm toán độc lập đánh giá về kiểm soát nội bộ của Agribank.,Tất cả các đáp án trên.,4,"Điều 12, 13 Chương II Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB ngày 31/8/2022."
4,"Theo Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB, Báo cáo kết quả tự kiểm tra, đánh giá về kiểm soát nội bộ của Agribank gửi Ngân hàng Nhà nước trong thời hạn nào?",15 ngày kể từ ngày kết thúc năm tài chính.,30 ngày kể từ ngày kết thúc năm tài chính.,45 ngày kể từ ngày kết thúc năm tài chính,60 ngày kể từ ngày kết thúc năm tài chính.,3,Tiết (i) điểm b khoản 4 Điều 13 Chương II Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB ngày 31/8/2022.
5,"Theo Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB, các đơn vị nào dưới đây phải lập báo cáo tự kiểm tra, đánh giá về kiểm soát nội bộ theo định kỳ hàng năm gửi Tổng Giám đốc Agribank?",Các đơn vị thành viên Trụ sở chính; đơn vị sự nghiệp; văn phòng đại diện.,Các chi nhánh loại I.,Chi nhánh Campuchia.,Tất cả các đáp án trên.,4,Tiết (ii) điểm b khoản 4 Điều 13 Chương II Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB ngày 31/8/2022.
6,"Theo Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB, Báo cáo tự kiểm tra, đánh giá về kiểm soát nội bộ của các chi nhánh không bao gồm các nội dung nào sau đây?",Tổ chức hoạt động kiểm soát nội bộ tại chi nhánh.,Tình hình tuân thủ các quy định nội bộ tại chi nhánh.,Tình hình quản lý rủi ro tại chi nhánh.,"Kết quả thực hiện khắc phục các tồn tại, hạn chế của kiểm soát nội bộ tại chi nhánh.",3,Khoản 2 Điều 13 Chương II Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB ngày 31/8/2022.
7,"Theo Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB, Hội đồng thành viên trực tiếp giám sát việc thực hiện nhiệm vụ của các đơn vị/cá nhân nào dưới đây?","Tổng Giám đốc; các Phó Tổng Giám đốc; Kế toán trưởng; Ủy ban, Ban tham mưu giúp việc Hội đồng thành viên; người đại diện phần vốn của Agribank tại doanh nghiệp khác.",Tổng Giám đốc; các Phó Tổng Giám đốc; Thành viên Ban Kiểm soát; Kế toán trưởng.,"Các Phó Tổng Giám đốc; Kế toán trưởng; các đơn vị tại Trụ sở chính, văn phòng đại diện Khu vực.","Các đơn vị tại Trụ sở chính, văn phòng đại diện Khu vực; chi nhánh loại I.",1,"Điều 24, 25, 26, 27 Chương II Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB ngày 31/8/2022."
8,"Theo Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB, Tổng Giám đốc Agribank không giám sát việc thực hiện nhiệm vụ của các đơn vị/cá nhân nào dưới đây?",Các Phó Tổng Giám đốc.,Các đơn vị tại Trụ sở chính (trừ Kiểm toán nội bộ và các Ủy ban giúp việc Hội đồng thành viên).,Kiểm toán nội bộ.,Chi nhánh loại I.,3,Điều 29 Mục 2 Chương II Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB ngày 31/8/2022.
9,"Theo Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB, Phó Tổng Giám đốc giám sát việc thực hiện nhiệm vụ của các đơn vị/cá nhân nào sau đây?",Các đơn vị tại Trụ sở chính.,Chi nhánh loại I.,"Các đơn vị/lĩnh vực theo phân công, ủy quyền của Tổng Giám đốc và quy định nội bộ của Agribank.",Tất cả các đáp án trên.,3,Điều 30 Mục 2 Chương II Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB ngày 31/8/2022.
10,"Theo Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB, Giám đốc chi nhánh loại I giám sát việc thực hiện nhiệm vụ của các đơn vị/cá nhân nào sau đây?",Chi nhánh loại II.,Phòng Giao dịch trực thuộc.,Các Phòng nghiệp vụ tại Hội sở chính.,Tất cả các đáp án trên.,4,Khoản 2 Điều 33 Mục 3 Chương II Quy chế kiểm soát nội bộ của Agribank số 539/QC-HĐTV-KTNB ngày 31/8/2022.
