id,cauhoi,dapan1,dapan2,dapan3,dapan4,dapandung,trichdan
1,"Theo Văn bản 1519/HĐQT-LĐTL ngày 11/12/2008, nhân viên làm việc tại Agribank có thời gian công tác liên tục từ tháng 01/2000 đến nay, khi nghỉ hưu được nhận mức hỗ trợ chung là bao nhiêu? (biết mức trợ cấp M = 10.000.000đ, hệ số điều chỉnh K = 4)",Ít hơn 40.000.000đ,Nhiều hơn 40.000.000đ,40.000.000đ,Không đủ điều kiện hưởng chế độ,1,Tiết a Điểm 4.3 Khoản 4 Mục I Phần B Văn bản số 1519/HĐQT-LĐTL ngày 11/12/2008
2,"Theo Văn bản 1519/HĐQT-LĐTL ngày 11/12/2008, Trưởng phòng Chi nhánh loại I tại Agribank có thời gian công tác liên tục từ tháng 3/1988 đến nay, khi nghỉ hưu được nhận mức hỗ trợ chung là bao nhiêu? (biết mức trợ cấp M = 19.000.000đ, hệ số điều chỉnh K = 4)",4.750.000đ,7.600.000đ,76.000.000đ,81.000.000đ,3,Tiết a Điểm 4.3 Khoản 4 MỤc I Phần B Văn bản số 1519/HĐQT-LĐTL ngày 11/12/2008
3,"Theo Văn bản 1519/HĐQT-LĐTL ngày 11/12/2008, Trưởng phòng Chi nhánh loại II tại Agribank có thời gian công tác liên tục từ tháng 3/1988 đến nay, khi nghỉ hưu được nhận mức hỗ trợ chung là bao nhiêu? (biết mức trợ cấp M = 13.000.000đ, hệ số điều chỉnh K = 4)",3.250.000đ,5.200.000đ,52.000.000đ,55.000.000đ,3,Tiết a Điểm 4.3 Khoản 4 MỤc I Phần B Văn bản số 1519/HĐQT-LĐTL ngày 11/12/2008
4,"Theo Văn bản 1519/HĐQT-LĐTL ngày 11/12/2008, Giám đốc Chi nhánh loại I có thời gian công tác liên tục từ tháng 3/1988 đến nay, khi nghỉ hưu được nhận mức hỗ trợ chung là bao nhiêu? (biết mức trợ cấp M = 25.000.000đ, hệ số điều chỉnh K = 4)",6.250.000đ,10.000.000đ,100.000.000đ,110.000.000đ,3,Tiết a Điểm 4.3 Khoản 4 MỤc I Phần B Văn bản số 1519/HĐQT-LĐTL ngày 11/12/2008
5,"Theo Văn bản 1519/HĐQT-LĐTL ngày 11/12/2008, Giám đốc Chi nhánh loại II có thời gian công tác liên tục từ tháng 3/1988 đến nay, khi nghỉ hưu được nhận mức hỗ trợ chung là bao nhiêu? (biết mức trợ cấp M = 19.000.000đ, hệ số điều chỉnh K = 4)",4.750.000đ,7.600.000đ,76.000.000đ,81.000.000đ,3,Tiết a Điểm 4.3 Khoản 4 MỤc I Phần B Văn bản số 1519/HĐQT-LĐTL ngày 11/12/2008
6,"Theo Văn bản 1519/HĐQT-LĐTL ngày 11/12/2008, Trưởng phòng Chi nhánh loại I tại Agribank có thời gian công tác liên tục từ tháng 3/1988 đến nay, khi chấm dứt HĐLĐ để bảo lưu thời gian đóng BHXH được nhận mức hỗ trợ chung là bao nhiêu? (biết mức trợ cấp M = 19.000.000đ, hệ số điều chỉnh K = 4)",4.750.000đ,7.600.000đ,76.000.000đ,Không thuộc đối tượng hưởng mức hỗ trợ chung,4,Mục I Phần B Văn bản số 1519/HĐQT-LĐTL ngày 11/12/2008/HĐQT-LĐTL
7,"Theo Văn bản 1519/HĐQT-LĐTL ngày 11/12/2008, Phó Trưởng phòng Chi nhánh loại II có thời gian công tác liên tục từ tháng 3/1988 đến nay, khi chấm dứt HĐLĐ để bảo lưu thời gian đóng BHXH được nhận mức hỗ trợ chung là bao nhiêu? (biết mức trợ cấp M = 13.000.000đ, hệ số điều chỉnh K = 4)",3.250.000đ,5.200.000đ,52.000.000đ,Không thuộc đối tượng hưởng mức hỗ trợ chung,4,Mục I Phần B Văn bản số 1519/HĐQT-LĐTL ngày 11/12/2008/HĐQT-LĐTL
8,"Theo Văn bản 1519/HĐQT-LĐTL ngày 11/12/2008, Giám đốc Chi nhánh loại I có thời gian công tác liên tục từ tháng 3/1988 đến nay, khi chấm dứt HĐLĐ để bảo lưu thời gian đóng BHXH được nhận mức hỗ trợ chung là bao nhiêu? (biết mức trợ cấp M = 25.000.000đ, hệ số điều chỉnh K = 4)",6.250.000đ,10.000.000đ,100.000.000đ,Không thuộc đối tượng hưởng mức hỗ trợ chung,4,Mục I Phần B Văn bản số 1519/HĐQT-LĐTL ngày 11/12/2008/HĐQT-LĐTL
9,"Theo quy định tại Quy chế số 388/QC-HĐTV-UBNS ngày 15/5/2024 của Hội đồng thành viên, Việc nhập thông tin trên hệ thống dữ liệu về nhân sự, phục vụ yêu cầu quản lý lao động đối với chức danh Giám đốc Chi nhánh loại II được xếp hạng do đơn vị/bộ phận nào thực hiện?",Ban Tổ chức nhân sự,Phòng Tổng hợp Chi nhánh loại I,Phòng Tổng hợp Chi nhánh loại II,,2,"Khoản 2 điều 41 Quy chế số 388/QC-HĐTV-UBNS ngày 15/5/2024, Khoản 7 Điều 9 Quy chế 1589/QC-HĐTV-TCNS ngày 31/12/2024"
10,"Theo Văn bản số 8386/NHNo-TCTL ngày 27/9/2021, người sử dụng lao động được giao kết tối đa bao nhiêu hợp đồng lao động có thời hạn với 01 người lao động?",01 hợp đồng lao động,02 hợp đồng lao động,03 hợp đồng lao động,04 hợp đồng lao động,2,Mục 6.3 Văn bản số 8386/NHNo-TCTL ngày 27/9/2021
