id,cauhoi,dapan1,dapan2,dapan3,dapan4,dapandung,trichdan
1,"Việc giám sát đánh giá đầu tư đối với các dự án đầu tư xây dựng sử dụng vốn đầu tư công, vốn nhà nước ngoài đầu tư công căn cứ vào các quy định nào?",Pháp luật về xây dựng.,Pháp luật về đầu tư công.,Pháp luật về đầu tư công và pháp luật về xây dựng.,"Pháp luật về đầu tư công, pháp luật về xây dựng và pháp luật khác có liên quan.",4,Phần căn cứ của Nghị định 29/2021/NĐ-CP ngày 26/3/2021
2,"Đối với công trình cấp II và cấp III, quy định về thời gian thẩm định thiết kế xây dựng triển khai sau thiết kế cơ sở của cơ quan chuyên môn về xây dựng tính từ ngày nhận đủ hồ sơ hợp lệ như thế nào là đúng sau đây?",Không quá 40 ngày.,Không quá 30 ngày.,Không quá 35 ngày.,Không quá 45 ngày.,2,"Khoản 9, Điều 47 Nghị định số: 175/2024/NĐ-CP ngày 30/12/2024"
3,Những công tác nào được liệt kê dưới đây thuộc giai đoạn chuẩn bị dự án?,Quyết định hoặc chấp thuận chủ trương đầu tư.,"Lập, thẩm định, phê duyệt Báo cáo nghiên cứu khả thi đầu tư xây dựng.
",Xin cấp phép xây dựng.,Đáp án 1 và 2 đúng.,4,"Khoản 1, Điều 4, Nghị định số: 175/2024/NĐ-CP ngày 30/12/2024 "
4,Công trình Trụ sở làm việc của Agribank có tổng diện tích sàn từ bao nhiêu mét vuông trở lên thì thuộc diện phải thẩm định thiết kế về Phòng cháy và chữa cháy?,Tổng diện tích sàn từ 3000 m2 trở lên,Tổng diện tích sàn từ 6000 m2 trở lên,Tổng diện tích sàn từ 7000 m2 trở lên,Tổng diện tích sàn từ 9000 m2 trở lên,1,"Mục số 7, Phụ lục III, Nghị định 105/2025/NĐ-CP ngày 15/5/2025"
5,Công trình Trụ sở làm việc của Agribank chiều cao tầng như thế nào thì thuộc diện phải thẩm định thiết kế về Phòng cháy và chữa cháy?,Từ 07 tầng trở lên,Từ 08 tầng trở lên,Từ 09 tầng trở lên,Từ 10 tầng trở lên,1,"Mục số 7, Phụ lục III, Nghị định 105/2025/NĐ-CP ngày 15/5/2025"
6,"Đối tượng chịu sự kiểm tra, giám sát trong quá trình thực hiện quản lý đầu tư xây dựng theo Quy định của Agribank gồm đối tượng nào?",Các đơn vị có hợp đồng với Agribank trong quá trình thực hiện dự án đầu tư xây dựng,"Ban Quản lý đầu tư xây dựng khu vực, Ban Quản lý đầu tư nội ngành","Ban Tài chính kế toán, Đơn vị kế hoạch",Tất cả các đối tượng trên,4,"Khoản 2,  Điều 9, Quy định 4277/QyĐ-NHNo-QLĐT ngày 17/12/2024"
7,Mục tiêu của kiểm tra giám sát tiến độ thực hiện dự án công trình là gì?,Kiểm soát chất lượng công trình,"Đôn đốc các đơn vị thực hiện dự án bám sát theo kế hoạch đã được duyệt và kịp thời phát hiện nguy cơ chậm tiến độ để có biện pháp xử lý, khắc phục kịp thời",Đảm bảo các khoản chi phí đầu tư đúng dự toán/hợp đồng đã ký,Kiểm soát chi phí và ngăn ngừa lãng phí,2,"Khoản 1,  Điều 9, Quy định 4277/QyĐ-NHNo-QLĐT ngày 17/12/2024"
8,"Theo quy định của pháp luật về xây dựng, hợp đồng trong hoạt động xây dựng theo hình thức giá có những loại nào?","Hình thức trọn gói, hình thức theo thời gian.","Hình thức điều chỉnh giá, Hình thức theo đơn giá cố định.",Bao gồm các hình thức nêu tại đáp án 1 và 2.,,3,"Khoản  2, Điều 3 Nghị định số: 37/2015/NĐ-CP ngày 22/4/2015"
9, Hồ sơ trình thẩm định Báo cáo nghiên cứu khả thi đầu tư xây dựng không bao gồm tài liệu nào dưới đây?,Tờ trình thẩm định,Thiết kế cơ sở của dự án,Thiết kế xây dựng triển khai sau thiết kế cơ sở,Hồ sơ khảo sát xây dựng được duyệt,3,"Khoản  2, Điều 17 Nghị định số: 175/2024/NĐ-CP ngày 30/12/2024"
10,Công tác nào sau đây không nằm trong giai đoạn thực hiện dự án đầu tư xây dựng?,Thi công xây dựng,"Thẩm định, phê duyệt dự án",Nghiệm thu công việc xây dựng,,2,"Khoản 1, Điều 4, Nghị định số: 175/2024/NĐ-CP ngày 30/12/2024"
11,"Theo Luật xây dựng, những cá nhân nào dưới đây không bắt buộc phải có chứng chỉ hành nghề hoạt động xây dựng?",Chủ nhiệm thiết kế xây dựng công trình.,Chủ trì thiết kế bộ môn trong công trình xây dựng.,Cá nhân giám sát thi công của nhà thầu thi công xây dựng công trình.,Cán bộ tư vấn giám sát thi công xây dựng.,3,"Khoản  3, Điều 148 Luật xây dựng số: 50/2014/QH13"
12,"Theo Luật xây dựng, số bước thiết kế xây dựng do ai quyết định?",Người quyết định đầu tư khi phê duyệt dự án đầu tư.,Chủ đầu tư khi triển khai thực hiện dự án.,Tổ chức tư vấn lập dự án đầu tư.,,1,"Khoản  2, Điều 78 Luật xây dựng số: 50/2014/QH13"
