id,cauhoi,dapan1,dapan2,dapan3,dapan4,dapandung,trichdan
1,"""Người quản lý Agribank"" bao gồm những chức danh nào sau đây?","Chủ tịch HĐTV, Thành viên HĐTV","Tổng Giám đốc, Phó Tổng Giám đốc",Kế toán trưởng,Tất cả các đáp án trên,4,Điểm 3 Điều 1 Quyết định số 799/QĐ-HĐTV-UBNS ngày 15/8/2017 của HĐTV
2,"""Đơn vị thuộc Agribank"" bao gồm:","Ban, Văn phòng đại diện; Chi nhánh Agribank trực thuộc; đơn vị sự nghiệp và các đơn vị khác do Hội đồng thành viên thành lập.","Ủy ban, Ban, Trung tâm, Văn phòng đại diện; Chi nhánh Agribank trực thuộc; đơn vị sự nghiệp và các đơn vị khác do Hội đồng thành viên thành lập.","Ban, Trung tâm, Văn phòng đại diện; Chi nhánh Agribank trực thuộc; đơn vị sự nghiệp và các đơn vị khác do Hội đồng thành viên thành lập.","Ủy ban, Ban, Trung tâm, Văn phòng đại diện; Chi nhánh Agribank trực thuộc; đơn vị sự nghiệp.",2,Điểm 6 Điều 1 Quyết định số 799/QĐ-HĐTV-UBNS ngày 15/8/2017 của HĐTV
3,"Hạng chi nhánh theo quy định tại Quy chế tổ chức và hoạt động của Chi nhánh, phòng giao dịch là gì?",Là cấp độ mà Chi nhánh được sắp xếp dựa trên các tiêu chí nhất định theo quy định nội bộ của Agribank trong từng thời kỳ.,Là thứ hạng chi nhánh được Agribank ban hành trong từng thời kỳ.,Là cấp độ chi nhánh được Ngân hàng Nhà nước quy định trong từng thời kỳ.,,1,Khoản 3 Điều 2 Quy chế 1589/QC-HĐTV-TCNS ngày 31/12/2024
4,"Theo Quy chế tổ chức và hoạt động của Chi nhánh, Phòng giao dịch số 1589/QC-HĐTV-TCNS, Phòng giao dịch duy trì từ mấy lao động thực tế trong định biên, có kho tiền đủ tiêu chuẩn theo quy định của NHNN thì Giám đốc Chi nhánh quản lý Phòng giao dịch được thành lập Tổ Kế toán và ngân quỹ?",5,6,07 lao động thực tế trong định biên trở lên.,8,3,Điểm đ Khoản 3 Điều 3 Quy chế 1589/QC-HĐTV-TCNS ngày 31/12/2024
5,"Theo Quy chế tổ chức và hoạt động của Chi nhánh, Phòng giao dịch số 1589/QC-HĐTV-TCNS ngày 31/12/2024, Phòng giao dịch duy trì từ mấy lao động thực tế trong định biên, Giám đốc Chi nhánh quản lý Phòng giao dịch được thành lập Tổ kinh doanh, Tổ Kế toán và ngân quỹ?",5,8,09 lao động thực tế trong định biên trở lên.,6,3,Điểm e Khoản 3 Điều 3 Quy chế 1589/QC-HĐTV-TCNS ngày 31/12/2024
6,"Theo Quy chế Tổ chức và hoạt động của Chi nhánh, Phòng giao dịch số 1589/QC-HĐTV-TCNS ngày 31/12/2024, Chi nhánh loại II là: ","Chi nhánh chịu sự quản lý, điều hành của Chi nhánh loại I trong một số lĩnh vực vụ thể do HĐTV quyết định.","Chi nhánh thuộc sự quản lý, điều hành của Agribank và chịu sự quản lý, điều hành của Chi nhánh loại I theo phân cấp, ủy quyền của Agribank.",Tất cả các đáp án trên.,,2,Khoản 3 Điều 2 Quy chế 1589/QC-HĐTV-TCNS ngày 31/12/2024
7,Hoạt động nào sau đây không phải là hoạt động của Chi nhánh loại II?,Cấp tín dụng theo quy định của pháp luật và Agribank trong từng thời kỳ.,"Tham gia hệ thống thanh toán nội bộ, thanh toán song phương.",Thực hiện dịch vụ quản lý tiền mặt.,"Mua, đầu tư, sở hữu bất động sản để sử dụng làm trụ sở kinh doanh.",4,"Điểm k, Khoản 1, Điều 4 Quy chế 1589/QC-HĐTV-TCNS ngày 31/12/2024"
8,"Phòng Khách hàng Doanh nghiệp thuộc cơ cấu tổ chức của chi nhánh loại mấy, hạng mấy?",Loại I hạng 1.,Loại I hạng 2.,Loại II hạng 1.,Cả 1 và 2 đều đúng.,4,"Khoản 1, Điều 7 Quy chế 1589/QC-HĐTV-TCNS ngày 31/12/2024"
9,"Căn cứ quy mô hoạt động, đối tượng khách hàng, yêu cầu kinh doanh từng thời kỳ đối với từng Chi nhánh, Tổng giám đốc quyết định thành lập phòng Thẩm định trên cơ sở tách bộ phận Thẩm định chuyên trách tại phòng nghiệp vụ nào?",Phòng Khách hàng Doanh nghiệp.,Phòng Khách hàng Cá nhân.,Phòng Kế hoạch và Quản lý rủi ro.,"Phòng Kiểm tra, giám sát nội bộ.",1,"Khoản 5, Điều 7 Quy chế 1589/QC-HĐTV-TCNS ngày 31/12/2024"
10,Cơ cấu các phòng nghiệp vụ của Chi nhánh tổ chức lại do cấp nào của Agribank quyết định trong phương án cụ thể?,Hội đồng thành viên.,Tổng Giám đốc.,Trưởng Văn phòng đại diện.,Giám đốc Chi nhánh tổ chức lại.,1,"Khoản 6, Điều 7 Quy chế 1589/QC-HĐTV-TCNS ngày 31/12/2024"
11,Cơ cấu các phòng nghiệp vụ của Chi nhánh có tính đặc thù do cấp nào quyết định?,Hội đồng thành viên.,Tổng Giám đốc.,Trưởng Văn phòng đại diện.,Giám đốc Chi nhánh có tính đặc thù.,1,"Khoản 7, Điều 7 Quy chế 1589/QC-HĐTV-TCNS ngày 31/12/2024"
12,"""Quản lý rủi ro trong quá trình triển khai, thực hiện nhiệm vụ: nhận diện, đánh giá và phân tích nhân tố rủi ro, từ đó triển khai biện pháp nhằm kiểm soát, hạn chế rủi ro"" là nhiệm vụ của phòng nghiệp vụ nào tại Chi nhánh?",Phòng Kế hoạch và Quản lý rủi ro.,Phòng Thẩm định.,"Phòng Kiểm tra, giám sát nội bộ.",Tất cả các phòng nghiệp vụ.,4,"Khoản 1, Điều 9, Quy chế 1589/QC-HĐTV-TCNS"
13,"Nhiệm vụ: ""Phát hiện và đề xuất chỉnh sửa, khắc phục kịp thời các bất cập trong các quy định nội bộ nhằm tăng cường quản lý giao dịch hàng ngày an toàn, hiệu quả và đúng pháp luật"" thực hiện tại Phòng nào đối với Chi nhánh không tổ chức Phòng Kiểm tra, giám sát nội bộ?",Phòng Kế hoạch và Quản lý rủi ro.,Phòng Thẩm định.,Phòng Tổng hợp.,Phòng Khách hàng doanh nghiệp.,3,"Khoản 10, Điều 9, Quy chế 1589/QC-HĐTV-TCNS"
14,Agribank phải dự phòng rủi ro trong hoạt động của mình. Khoản dự phòng rủi ro này được hạch toán vào?,Doanh thu.,Chi phí hoạt động.,Lợi nhuận trước thuế.,,2,Khoản 1 Điều 16 Điều lệ Agribank 2024
15,"Trong thời hạn bao nhiêu ngày kể từ ngày kết thúc năm tài chính, Agribank phải công khai các báo cáo tài chính theo quy định của pháp luật, Ngân hàng Nhà nước?",120 ngày.,90 ngày.,60 ngày.,150 ngày.,1,Điều 65 Điều lệ Agribank 2024
16,"Việc thay đổi địa điểm đặt trụ sở Chi nhánh, Phòng giao dịch giữa các tỉnh, thành phố trực thuộc Trung ương thuộc thẩm quyền xem xét quyết định của cấp nào tại Agribank?",Hội đồng thành viên.,Người đại diện theo pháp luật.,Tổng Giám đốc.,Trưởng Văn phòng đại diện.,1,Khoản 1 Điều 13 Điều lệ Agribank 2024
17,"Việc bổ sung hoặc thay đổi tên viết tắt, tên viết bằng tiếng nước ngoài trên cơ sở tên đầy đủ bằng tiếng Việt của Chi nhánh thuộc thẩm quyền xem xét quyết định của cấp nào tại Agribank?",Hội đồng thành viên.,Người đại diện theo pháp luật.,Tổng Giám đốc.,Trưởng Văn phòng đại diện.,2,Khoản 2 Điều 13 Điều lệ Agribank 2024
18,Thời hạn chi nhánh loại I gửi kế hoạch mạng lưới về Agribank là ngày nào?,Trước ngày 31/01 hàng năm.,Ngày 31/01 hàng năm.,Ngày 30/01 hàng năm.,Trước ngày 30/01 hàng năm.,1,Khoản 1 Điều 14 Điều lệ Agribank 2024
19,"Theo Điều lệ Agribank năm 2024, Giám đốc chi nhánh Agribank có được coi là “người quản lý” của Agribank hay không?","Không, Giám đốc chi nhánh được xếp vào nhóm “người điều hành” không nằm trong định nghĩa “người quản lý” của Agribank.","Có, Giám đốc chi nhánh đương nhiên là một người quản lý của Agribank.","Có, nếu chi nhánh đó là chi nhánh loại I.",Chỉ được coi là người quản lý khi kiêm nhiệm chức vụ tại Trụ sở chính.,1,"Khoản 13, 14, Điều 1 Điều lệ Agribank 2024"
20,Thành viên Hội đồng thành viên Agribank có được đồng thời đảm nhiệm chức vụ Giám đốc chi nhánh Agribank không?,"Không được, vì thành viên HĐTV không được kiêm nhiệm chức vụ điều hành tại Agribank (trừ trường hợp Tổng Giám đốc là thành viên HĐTV).","Được, nếu đã công tác tại Agribank đủ 5 năm.","Được, nếu chi nhánh đó ở địa bàn đặc thù và cần người lãnh đạo.","Được, nếu được Chủ tịch HĐTV chấp thuận bằng văn bản.",1,"Khoản 2, Điều 47 Điều lệ Agribank 2024"
21,Điều lệ Agribank quy định cấp nào có thẩm quyền ban hành các quy định nội bộ áp dụng trong toàn hệ thống Agribank?,Hội đồng thành viên và Tổng Giám đốc Agribank (ban hành theo thẩm quyền tương ứng).,Chỉ Hội đồng thành viên. ,Ban Kiểm soát. ,Giám đốc các chi nhánh tự ban hành cho đơn vị mình.,1,"Khoản 15, Điều 1 Điều lệ Agribank 2024"
22,"Nếu quy định của Điều lệ Agribank trái với quy định mới của pháp luật, Agribank xử lý như thế nào?","Sửa đổi, bổ sung hoặc thay thế Điều lệ theo quy định của pháp luật và Hội đồng thành viên.","Thực hiện theo Điều lệ Agribank vì Điều lệ là văn bản định chế quy định chung nhất về tổ chức, quản lý và hoạt động của Agribank.",Tự lựa chọn áp dụng quy định nào có lợi hơn.,Chờ hướng dẫn của Bộ Tư pháp để quyết định.,1,"Khoản 2, Điều 74 Điều lệ Agribank 2024"
23,Nội dung nào sau đây không thuộc nghĩa vụ của Chủ sở hữu (Nhà nước) đối với Agribank?,Góp đủ vốn điều lệ và tách bạch tài sản của Chủ sở hữu với tài sản Agribank.,Chấp hành các nghĩa vụ của Chủ sở hữu theo quy định pháp luật.,Tuân thủ Điều lệ Agribank.,Quyết định tổ chức lại Agribank.,4,"Khoản 7, Điều 32 Điều lệ Agribank 2024"
24,"Theo Điều lệ, Agribank không được thực hiện hoạt động nào sau đây nếu không có chấp thuận của Ngân hàng Nhà nước?",Tham gia hệ thống thanh toán quốc tế.,Huy động tiền gửi tiết kiệm bằng VND.,Cấp tín dụng cho khách hàng doanh nghiệp.,Cung cấp dịch vụ chuyển tiền trong nước.,1,"Khoản 2, Điều 21 Điều lệ Agribank 2024"
25,Thẩm quyền quyết định thay đổi mức vốn điều lệ của Agribank thuộc cấp nào?,Chủ sở hữu.,Hội đồng thành viên Agribank.,Tổng Giám đốc.,Chủ tịch Hội đồng thành viên.,1,"Khoản 4, Điều 31 Điều lệ Agribank 2024"
26,"Theo Điều lệ Agribank, cấp nào có thẩm quyền quyết định về tổ chức và hoạt động của các chi nhánh Agribank?",Ngân hàng Nhà nước. ,Hội đồng thành viên Agribank.,Tổng Giám đốc.,Bộ Tài chính.,2,"Khoản 2, Điều 33 Điều lệ Agribank 2024"
27,"Theo Điều lệ Agribank, vốn của Agribank bao gồm những thành phần nào sau đây?",Vốn chủ sở hữu và lợi nhuận chưa phân phối.,"Vốn chủ sở hữu, vốn vay nước ngoài và thu nhập từ hoạt động đầu tư.","Vốn chủ sở hữu, vốn huy động, vốn khác theo quy định của pháp luật.","Vốn điều lệ, vốn lưu động, và các khoản dự phòng rủi ro.",3,"Khoản 1, Điều 60 Điều lệ Agribank 2024"
28,Agribank có trách nhiệm báo cáo kịp thời với Ngân hàng Nhà nước trong trường hợp nào sau đây?,"Thay đổi về tổ chức, quản trị, điều hành.",Thay đổi tên Chi nhánh.,Tạm ngừng giao dịch dưới 05 ngày làm việc.,Tất cả các đáp án trên đều đúng.,4,"Khoản 2, Điều 64 Điều lệ Agribank 2024"
29,"Khi nào Agribank được tổ chức lại dưới hình thức chia, tách, hợp nhất, sáp nhập?",Sau khi được Ngân hàng Nhà nước chấp thuận bằng văn bản.,Sau khi Hội đồng thành viên biểu quyết thông qua.,Sau khi có ý kiến chấp thuận của Bộ Tài chính.,Có quyết định phê duyệt phương án hợp nhất của Hội đồng thành viên hai bên trong trường hợp sáp nhập. ,1,Điều 69 Điều lệ Agribank 2024
30,"Đối với chi nhánh không tổ chức phòng Kiểm tra, giám sát nội bộ, nhiệm vụ: ""Tiếp nhận đơn thư; tổ chức kiểm tra, xác minh, giải quyết đơn thư thuộc thẩm quyền theo đúng quy định của Agribank phù hợp với quy định của pháp luật"" thực hiện ở phòng nghiệp vụ nào?",Phòng Khách hàng Doanh nghiệp.,Phòng Khách hàng Cá nhân.,Phòng Kế hoạch và Quản lý rủi ro.,Phòng Tổng hợp.,4,"Khoản 6, Khoản 10, Điều 9 Quy chế 1589/QC-HĐTV-TCNS ngày 31/12/2024"
